Date,Vanzari
2023-06-22,608
2023-06-23,354
2023-06-24,677
2023-06-25,46
2023-06-26,642
2023-06-27,781
2023-06-28,667
2023-06-29,634
2023-06-30,377
2023-07-01,545
2023-07-02,27
2023-07-03,553
2023-07-04,851
2023-07-05,595
2023-07-06,843
2023-07-07,431
2023-07-08,385
2023-07-09,28
2023-07-10,704
2023-07-11,846
2023-07-12,587
2023-07-13,775
2023-07-14,425
2023-07-15,520
2023-07-16,13
2023-07-17,656
2023-07-18,673
2023-07-19,748
2023-07-20,580
2023-07-21,331
2023-07-22,350
2023-07-23,19
2023-07-24,558
2023-07-25,578
2023-07-26,536
2023-07-27,832
2023-07-28,219
2023-07-29,473
2023-07-30,15
2023-07-31,532
2023-08-01,738
2023-08-02,428
2023-08-03,671
2023-08-04,268
2023-08-05,536
2023-08-06,6
2023-08-07,577
2023-08-08,735
2023-08-09,493
2023-08-10,922
2023-08-11,373
2023-08-12,455
2023-08-13,37
2023-08-14,640
2023-08-15,29
2023-08-16,635
2023-08-17,956
2023-08-18,346
2023-08-19,506
2023-08-20,30
